null_resource_nums,null_variables,praq_resource_nums,praq_variables,praq_resource_nums,praq_delta_prq,nl_resource_nums,nl_variables
,,,,,,,
,,,,,,,
3,8,3,17,3,6,,
,,,,,,,
5,13,4,53,4,16,2,5
6,16,,,,,,
7,19,5,88,5,27,,
8,22,6,131,6,44,,
8,23,,,,,3,12
8,24,8,204,8,75,,
,,,,,,,
,,,,,,4,14
11,31,,,,,,
12,34,11,319,11,108,,
12,35,12,398,12,133,,
13,38,13,485,13,160,,
14,41,14,580,14,189,6,19
15,44,15,843,15,230,,
16,47,16,981,16,264,,
,,,,,312,,
18,52,17,1191,17,,,
18,53,19,1455,19,364,8,21
19,56,20,1633,20,406,,
20,59,21,1821,21,450,,
21,62,,,,,,23
,,,,,,,
,,24,2193,24,496,12,25
24,71,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,14,29
,,,,,,15,30
,,,,,,,
,,,,,,16,32
,,,,,,,
,,,,,,,
,,,,,,18,37
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,19,43
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,23,44
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,24,63
